('5.2', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.7', '4', '1010.5', 'pywierden')
('4.7', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.7', '4', '1010.5', 'pywierden')
('4.8', '0', '1008.5', 'pygarage')
('25.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('4.3', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('4.6', '0', '1008.5', 'pygarage')
('25.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.7', '4', '1010.5', 'pywierden')
('3.9', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '3', '1010.5', 'pywierden')
('5.5', '0', '1008.5', 'pygarage')
('25.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.5', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '4', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('25.3', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('5.1', '0', '1008.5', 'pygarage')
('25.2', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.6', '4', '1010.5', 'pywierden')
('5.7', '0', '1008.5', 'pygarage')
('25.2', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.4', '4', '1010.5', 'pywierden')
('6.1', '0', '1008.5', 'pygarage')
('25.2', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.2', '4', '1010.5', 'pywierden')
('5.8', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('5.6', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.3', '4', '1010.5', 'pywierden')
('4.5', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.3', '4', '1010.5', 'pywierden')
('4.3', '0', '1008.5', 'pygarage')
('25.0', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '4', '1010.5', 'pywierden')
('3.4', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('1.4', '0', '1008.5', 'pygarage')
('19.3', '4', '1010.5', 'pywierden')
('25.0', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('1.0', '0', '1008.5', 'pygarage')
('19.4', '4', '1010.5', 'pywierden')
('24.9', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('2.0', '0', '1008.5', 'pygarage')
('19.3', '4', '1010.5', 'pywierden')
('2.3', '0', '1008.5', 'pygarage')
('24.9', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '4', '1010.5', 'pywierden')
('2.0', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('2.5', '0', '1008.5', 'pygarage')
('24.9', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('2.4', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '4', '1010.5', 'pywierden')
('2.0', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '3', '1010.5', 'pywierden')
('3.2', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
